angle_right_elbow,angle_left_elbow,angle_right_shoulder,angle_left_knee,angle_right_knee,angle_right_hip_knee,angle_left_hip_knee,angle_right_hip_shoulder,angle_right_shank,angle_left_shank,left_shoulder_right_shoulder,right_shoulder_right_elbow,right_shoulder_right_hip,left_hip_right_hip,right_hip_right_knee,right_knee_right_ankle,gap_leg_bat,bat_angle,image_name,label
79.233,55.7,77.836,161.575,160.614,91.619,89.003,169.115,88.491,98.215,0.195,0.224,0.538,0.196,0.358,0.435,21.80036,64.949,578.png,backfoot drive
87.221,76.055,89.977,163.667,161.92,89.36,93.205,170.994,90.537,99.149,0.169,0.143,0.577,0.193,0.355,0.445,22.19168,64.949,579.png,backfoot drive
96.739,43.293,67.778,162.288,160.711,92.715,89.184,178.093,89.622,104.406,0.164,0.225,0.516,0.185,0.335,0.416,11.269649,65.158,58.png,backfoot drive
104.287,99.812,110.412,166.687,160.456,89.305,95.535,171.487,85.803,101.557,0.163,0.135,0.579,0.173,0.362,0.427,21.579348,64.949,580.png,backfoot drive
78.816,61.012,75.608,165.332,160.979,86.376,92.537,170.082,88.194,98.816,0.183,0.213,0.543,0.185,0.368,0.421,21.628,65.462,581.png,backfoot drive
88.621,72.813,86.231,162.952,163.928,87.424,91.406,172.557,90.226,99.692,0.193,0.173,0.552,0.195,0.368,0.428,21.88997,65.225,582.png,backfoot drive
101.364,63.851,82.549,165.331,160.641,89.829,91.308,170.784,88.88,101.423,0.187,0.191,0.564,0.196,0.352,0.437,21.938793,65.225,583.png,backfoot drive
114.111,45.673,64.278,164.948,163.832,84.313,94.774,170.682,89.969,101.137,0.194,0.173,0.566,0.197,0.368,0.421,21.88905,65.746,584.png,backfoot drive
101.674,61.583,90.525,166.914,165.682,85.196,95.119,173.896,84.536,103.122,0.167,0.11,0.583,0.173,0.383,0.43,21.690195,65.746,585.png,backfoot drive
96.742,56.399,80.009,166.348,161.136,89.143,92.381,171.072,87.543,97.288,0.185,0.142,0.584,0.185,0.372,0.429,21.262949,66.501,586.png,backfoot drive
83.307,76.026,91.142,168.251,163.402,90.141,94.01,170.453,87.551,101.453,0.15,0.107,0.56,0.16,0.371,0.444,21.580944,65.746,587.png,backfoot drive
110.394,85.424,122.329,168.004,160.428,90.067,94.626,171.326,84.428,100.484,0.163,0.136,0.599,0.173,0.357,0.451,20.998703,65.746,588.png,backfoot drive
122.524,56.667,90.229,164.287,163.718,83.532,94.564,173.148,84.866,104.089,0.199,0.147,0.579,0.188,0.378,0.436,20.584356,66.272,589.png,backfoot drive
95.182,25.638,66.022,161.269,159.946,88.727,92.496,176.012,92.32,102.07,0.234,0.218,0.558,0.211,0.351,0.42,11.710695,65.596,59.png,backfoot drive
82.768,64.03,81.578,164.02,161.399,86.65,94.7,170.173,88.092,101.619,0.185,0.148,0.568,0.198,0.366,0.433,19.891119,66.272,590.png,backfoot drive
118.755,79.515,96.5,161.632,162.464,86.741,93.346,171.133,87.64,101.545,0.142,0.14,0.571,0.163,0.378,0.437,19.787273,65.98,591.png,backfoot drive
77.803,69.528,82.502,159.048,160,91.138,89.531,169.48,92.279,97.805,0.142,0.145,0.558,0.173,0.371,0.446,19.81878,65.98,592.png,backfoot drive
115.163,90.465,68.086,163.615,163.797,87.993,95.179,169.728,89.839,102.361,0.087,0.174,0.551,0.145,0.375,0.429,19.974163,66.209,593.png,backfoot drive
147.44,42.548,39.663,163.469,162.771,81.661,96.269,165.227,92.567,99.069,0.173,0.231,0.547,0.188,0.391,0.425,19.941223,66.209,594.png,backfoot drive
139.36,39.685,51.912,161.131,164.852,86.392,93.572,169.424,90.492,100.043,0.126,0.217,0.556,0.164,0.387,0.439,19.954182,66.209,595.png,backfoot drive
84.014,53.005,66.037,165.702,165.17,84.8,94.061,170.48,85.703,100.809,0.202,0.175,0.57,0.203,0.374,0.43,19.940397,66.209,596.png,backfoot drive
91.286,52.879,63.41,165.903,162.437,85.005,93.653,168.892,86.617,100.325,0.191,0.177,0.569,0.201,0.379,0.433,20.148699,66.209,597.png,backfoot drive
76.505,42.122,55.981,164.216,161.981,87.116,88.395,170.833,89.948,96.627,0.196,0.22,0.554,0.196,0.358,0.428,19.975937,66.209,598.png,backfoot drive
83.474,46.408,61.959,165.123,165.288,87.065,90.512,171.762,87.802,98.804,0.198,0.205,0.571,0.202,0.367,0.425,19.99319,66.209,599.png,backfoot drive
104.269,85.19,94.214,158.885,156.234,102.952,76.915,149.404,86.759,97.98,0.161,0.261,0.495,0.2,0.319,0.43,19.637344,37.678,6.png,backfoot drive
107.334,72.961,74.7,163.05,164.628,92.588,87.854,174.37,91.639,102.536,0.173,0.248,0.504,0.186,0.358,0.411,11.705198,65.358,60.png,backfoot drive
112.904,47.182,34.16,163.341,165.132,83.432,92.76,167.278,89.383,96.965,0.181,0.252,0.552,0.19,0.38,0.418,19.906263,66.209,600.png,backfoot drive
100.512,51.308,51.609,163.97,162.998,83.632,92.131,166.954,89.703,97.264,0.179,0.198,0.549,0.186,0.381,0.426,19.832863,66.209,601.png,backfoot drive
79.225,60.686,71.956,167.136,166.719,84.666,90.439,172.01,89.306,96.956,0.193,0.201,0.557,0.195,0.364,0.435,19.914492,66.727,602.png,backfoot drive
56.272,42.326,58.992,165.716,166.048,83.351,91.718,171.51,90.745,94.552,0.202,0.187,0.558,0.202,0.359,0.432,20.337904,66.727,603.png,backfoot drive
74.185,61.425,74.564,162.273,163.586,85.209,92.306,172.381,88.498,96.067,0.192,0.152,0.559,0.197,0.365,0.436,20.80058,66.949,604.png,backfoot drive
134.652,43.907,47.385,162.21,161.711,80.528,94.348,166.016,88.934,96.81,0.212,0.229,0.552,0.202,0.373,0.429,20.832573,67.249,605.png,backfoot drive
54.192,54.398,63.956,163.736,163.28,85.482,90.215,168.626,88.449,96.073,0.202,0.192,0.554,0.199,0.361,0.422,20.792467,67.989,606.png,backfoot drive
82.717,47.868,55.841,165.147,162.231,82.45,91.81,166.207,95.215,91.479,0.21,0.217,0.543,0.204,0.37,0.421,20.854761,67.989,607.png,backfoot drive
153.304,35.523,42.507,163.691,161.96,80.449,93.395,166.766,91.597,94.693,0.192,0.238,0.553,0.193,0.375,0.426,20.978552,68.091,608.png,backfoot drive
64.247,22.961,50.388,165.567,163.181,82.307,92.623,168.822,88.008,97.674,0.193,0.209,0.559,0.198,0.363,0.427,20.76026,68.305,609.png,backfoot drive
73.108,31.546,62.891,160.421,164.377,94.941,83.412,174.004,94.29,97.293,0.199,0.219,0.514,0.191,0.353,0.409,11.848078,65.358,61.png,backfoot drive
72.664,59.911,78.863,165.256,162.512,83.325,92.07,166.941,94.083,91.717,0.197,0.164,0.557,0.2,0.367,0.429,20.840849,68.305,610.png,backfoot drive
112.738,41.331,39.791,164.007,163.58,79.472,93.427,166.637,90.509,95.139,0.224,0.233,0.554,0.215,0.372,0.427,20.966885,68.305,611.png,backfoot drive
65.023,54.033,75.734,165.627,161.687,83.227,91.589,166.016,92.955,93.89,0.193,0.175,0.546,0.196,0.368,0.435,21.083143,68.305,612.png,backfoot drive
126.572,59.9,46.185,164.179,164.587,78.133,92.703,166.699,90.615,96.033,0.207,0.255,0.532,0.193,0.361,0.429,21.092892,68.305,613.png,backfoot drive
149.646,68.296,33.624,165.677,164.221,81.332,92.732,166.779,83.328,104.75,0.204,0.284,0.537,0.192,0.369,0.425,21.103413,68.305,614.png,backfoot drive
104.86,51.885,45.579,162.188,163.352,82.76,90.635,170.241,83.204,104.644,0.192,0.25,0.541,0.184,0.362,0.42,21.171074,68.305,615.png,backfoot drive
129.877,64.702,43.324,162.948,162.106,81.352,93.806,169.957,82.194,106.433,0.227,0.267,0.553,0.208,0.372,0.416,21.046986,68.305,616.png,backfoot drive
148.615,142.351,93.887,152.386,139.852,89.793,81.147,162.913,131.873,53.418,0.153,0.116,0.561,0.125,0.345,0.368,21.24955,68.305,618.png,backfoot drive
142.473,119.29,108.297,150.034,140.179,82.744,84.13,163.587,110.896,80.159,0.215,0.107,0.557,0.136,0.342,0.379,21.169758,67.775,619.png,backfoot drive
100.894,71.804,70.722,163.528,164.406,89.724,88.158,176.996,91.015,101.854,0.16,0.228,0.509,0.182,0.364,0.415,12.986431,65.358,62.png,backfoot drive
112.053,75.246,50.255,154.651,164.32,103.144,65.188,153.957,156.021,35.408,0.234,0.137,0.528,0.085,0.278,0.436,21.125917,67.989,620.png,backfoot drive
122.067,65.753,44.229,163.976,165.217,78.272,97.35,165.439,90.16,98.879,0.224,0.231,0.545,0.202,0.382,0.418,21.29966,68.515,621.png,backfoot drive
79.891,44.185,56.669,161.395,164.751,84.575,91.734,171.282,88.627,99.35,0.205,0.218,0.559,0.197,0.364,0.428,21.306505,68.515,622.png,backfoot drive
144.574,59.086,35.535,164.135,163.821,78.068,98.386,165.191,93.051,97.752,0.21,0.249,0.542,0.198,0.392,0.418,21.134842,68.72,623.png,backfoot drive
85.476,54.945,67.127,161.537,164.226,86.454,92.129,172.448,84.782,100.992,0.211,0.211,0.551,0.203,0.354,0.43,21.188206,68.72,624.png,backfoot drive
95.545,51.434,69.926,161.289,166.009,91.644,85.887,177.948,91.555,100.4,0.178,0.213,0.524,0.188,0.351,0.421,11.679415,65.989,63.png,backfoot drive
87.456,57.812,53.92,161.512,163.323,84.193,94.206,170.022,89.508,101.483,0.193,0.223,0.547,0.2,0.378,0.431,21.442411,68.72,634.png,backfoot drive
63.393,61.453,64.312,164.694,164.932,86.825,92.983,173.086,90.588,97.382,0.177,0.224,0.538,0.197,0.364,0.431,21.506042,68.72,635.png,backfoot drive
77.355,69.595,63.88,159.438,162.176,85.019,92.315,169.976,90.245,100.88,0.168,0.186,0.56,0.19,0.378,0.438,21.634073,68.72,636.png,backfoot drive
93.513,62.89,55.709,160.495,163.599,84.156,94.538,170.335,92.245,101.583,0.159,0.198,0.552,0.188,0.382,0.434,21.59371,68.72,637.png,backfoot drive
69.601,57.891,60.929,163.591,165.521,84.043,94.274,172.066,89.561,100.317,0.192,0.21,0.555,0.2,0.365,0.432,21.682755,68.72,638.png,backfoot drive
78.87,66.822,66.185,162.18,165.297,83.225,95.597,172.665,88.305,101.677,0.199,0.192,0.565,0.2,0.361,0.43,21.765728,68.72,639.png,backfoot drive
87.784,63.15,69.711,162.104,164.458,89.138,92.071,179.703,88.343,102.067,0.17,0.189,0.547,0.189,0.366,0.418,14.738658,63.672,64.png,backfoot drive
89.241,34.701,37.553,159.606,163.045,81.122,94.786,168.919,91.016,99.726,0.172,0.223,0.557,0.193,0.387,0.431,21.95284,68.72,640.png,backfoot drive
83.659,53.051,58.127,162.489,164.18,80.431,93.187,168.179,84.642,103.97,0.201,0.194,0.551,0.196,0.359,0.426,21.683899,69.246,641.png,backfoot drive
72.758,63.519,68.945,164.929,163.596,86.111,93.617,170.557,88.908,98.386,0.183,0.159,0.568,0.194,0.384,0.437,21.375408,69.444,642.png,backfoot drive
70.591,61.702,71.762,164.454,160.598,86.762,92.234,171.208,90.667,96.066,0.177,0.204,0.542,0.189,0.358,0.432,22.171778,70.308,643.png,backfoot drive
76.713,68.234,69.001,163.125,157.295,84.792,93.104,166.956,90.849,97.206,0.16,0.223,0.515,0.178,0.361,0.439,21.744123,69.578,644.png,backfoot drive
87.695,56.33,63.584,160.935,161.457,89.661,91.196,178.352,92.086,100.692,0.175,0.206,0.535,0.187,0.362,0.415,19.320354,63.435,65.png,backfoot drive
83.355,32.605,65.63,154.088,152.6,95.126,85.275,171.16,89.591,94.335,0.214,0.22,0.518,0.184,0.356,0.416,1.3084197,54.689,650.png,backfoot drive
67.992,27.996,62.243,129.63,149.766,93.079,89.103,165.649,112.088,62.19,0.219,0.243,0.506,0.192,0.331,0.399,0,39.738,651.png,backfoot drive
66.627,29.671,67.137,142.283,158.731,89.277,93.082,172.328,97.87,82.124,0.219,0.229,0.527,0.189,0.344,0.417,0,47.121,652.png,backfoot drive
97.459,68.938,75.893,164.631,163.158,93.131,87.189,171.681,90.751,101.695,0.178,0.269,0.497,0.187,0.353,0.423,19.409729,63.194,66.png,backfoot drive
100.305,67.506,71.63,163.004,165.626,91.071,88.171,177.008,89.972,102.298,0.171,0.244,0.498,0.187,0.352,0.425,18.832104,63.194,67.png,backfoot drive
79.797,53.631,62.519,161.386,163.759,92.499,87.087,176.842,91.804,98.076,0.188,0.196,0.534,0.195,0.354,0.423,10.898453,65.989,79.png,backfoot drive
85.509,49.431,74.416,161.02,167.085,90.625,89.436,178.915,93.592,99.957,0.182,0.188,0.537,0.192,0.351,0.419,11.52404,65.989,80.png,backfoot drive
82.756,44.17,56.451,163.938,161.828,87.657,90.869,178.155,91.131,99.053,0.204,0.212,0.55,0.202,0.364,0.413,10.900018,65.989,81.png,backfoot drive
73.533,41.882,63.722,160.747,165.28,89.581,88.004,175.44,95.362,100.849,0.211,0.234,0.528,0.198,0.361,0.417,11.023572,66.181,82.png,backfoot drive
77.392,44.239,64.521,160.631,164.19,88.696,87.854,177.454,95.737,99.772,0.208,0.238,0.527,0.194,0.368,0.416,11.184157,65.989,83.png,backfoot drive
75.861,47.102,62.086,160.086,164.262,89.638,88.873,176.869,97.351,100.087,0.207,0.252,0.522,0.196,0.374,0.415,11.207875,65.794,84.png,backfoot drive
70.547,36.546,66.195,161.353,165.37,91.044,88.185,176.843,94.266,99.842,0.201,0.214,0.535,0.196,0.358,0.414,10.720652,65.794,85.png,backfoot drive
57.922,30.286,59.54,160.828,165.601,91.123,87.72,176.945,93.147,100.342,0.212,0.201,0.539,0.202,0.362,0.416,10.68866,65.794,86.png,backfoot drive
65.917,43.029,60.37,161.884,164.684,89.261,90.054,177.66,92.912,101.037,0.195,0.232,0.525,0.195,0.36,0.414,10.580222,65.794,87.png,backfoot drive
68.899,36.576,59.703,162.068,164.598,93.066,84.249,175.24,96.238,100.106,0.201,0.249,0.515,0.192,0.359,0.401,10.436028,65.358,88.png,backfoot drive
76.614,48.942,59.979,164.617,164.022,89.392,90.444,179.726,91.206,100.921,0.185,0.24,0.53,0.19,0.354,0.406,10.455745,64.926,89.png,backfoot drive
75.036,53.582,63.925,163.006,166.465,93.28,85.806,173.686,91.976,100.834,0.191,0.233,0.502,0.193,0.354,0.408,10.731529,64.516,90.png,backfoot drive
60.75,25.953,54.656,162.694,164.683,90.46,88.669,178.465,93.359,98.896,0.192,0.236,0.52,0.187,0.354,0.409,10.878766,63.435,91.png,backfoot drive
67.321,33.456,62.784,160.064,167.129,89.121,88.776,175.734,91.136,101.628,0.208,0.233,0.528,0.2,0.353,0.406,10.441309,62.959,92.png,backfoot drive
79.125,71.559,69.211,160.125,163.631,90.497,86.451,176.897,95.254,98.648,0.188,0.227,0.516,0.192,0.363,0.412,10.597399,64.29,93.png,backfoot drive
80.991,86.259,63.754,122.698,134.344,96.377,89.076,165.553,116.511,69.556,0.229,0.251,0.493,0.198,0.328,0.396,0,28.33,94.png,backfoot drive
152.694,72.609,66.92,169.78,169.603,90.372,123.703,154.804,99.247,119.34,0.374,0.337,0.426,0.219,0.302,0.401,0,26.745,95.png,backfoot drive
70.446,73.934,67.979,120.693,139.156,95.882,87.729,168.245,113.02,71.459,0.219,0.236,0.52,0.209,0.332,0.396,0,31.855,96.png,backfoot drive
68.521,27.308,58.67,126.221,142.948,95.17,89.436,166.108,114.887,63.192,0.217,0.253,0.503,0.2,0.342,0.402,0,38.501,97.png,backfoot drive
77.002,63.375,70.681,119.123,143.958,99.673,85.463,163.84,111.717,69.797,0.233,0.221,0.517,0.205,0.324,0.39,0,32.296,98.png,backfoot drive
67.517,25.356,63.421,127.964,139.632,98.895,88.062,165.002,111.715,70.936,0.206,0.243,0.498,0.197,0.325,0.396,0,33.826,99.png,backfoot drive
